emoji,hex,r,g,b,l,a_val,b_val
😀,1F600,223,177,47,74.26,4.85,67.41
😁,1F601,237,196,69,80.63,1.71,65.83
😂,1F602,201,174,66,71.61,-2.05,56.85
😃,1F603,218,173,46,72.8,5.09,66.17
😄,1F604,222,176,47,74.22,4.78,67.37
😅,1F605,212,176,59,73.13,0.77,61.82
😆,1F606,217,171,46,72.3,5.12,65.77
😇,1F607,209,190,74,76.7,-7.17,59.08
😈,1F608,187,21,185,45.13,75.34,-46.06
😉,1F609,227,183,39,76.16,3.2,71.67
😊,1F60A,232,184,44,76.99,5.2,71.27
😋,1F60B,235,177,49,75.73,9.65,68.63
😌,1F60C,233,189,40,78.24,2.7,73.37
😍,1F60D,232,147,44,68.26,24.32,63.45
😎,1F60E,176,137,30,59.24,5.2,57.68
😏,1F60F,231,188,40,77.86,2.67,73.03
😐,1F610,233,188,40,78.19,2.89,73.33
😑,1F611,235,190,40,78.87,2.67,73.89
😒,1F612,232,188,40,78.04,2.79,73.19
😓,1F613,221,191,59,77.88,-3.21,66.39
😔,1F614,234,190,40,78.75,2.59,73.78
😕,1F615,235,191,41,79.02,2.74,74.0
😖,1F616,224,180,39,75.23,3.17,70.92
😗,1F617,235,191,41,79.1,2.71,74.06
😘,1F618,231,175,41,74.54,9.15,69.75
😙,1F619,235,191,41,79.06,2.68,74.04
😚,1F61A,232,183,44,76.81,5.1,71.09
😛,1F61B,225,162,50,70.95,13.58,63.46
😜,1F61C,225,165,65,71.67,12.95,58.09
😝,1F61D,219,157,49,69.01,13.94,61.83
😞,1F61E,237,193,41,79.84,2.46,74.67
😟,1F61F,230,186,40,77.43,2.91,72.7
😠,1F620,232,188,40,78.05,2.86,73.21
😡,1F621,234,135,34,65.63,31.3,64.62
😢,1F622,219,184,51,75.86,-0.67,67.29
😣,1F623,228,184,39,76.56,3.09,72.0
😤,1F624,227,198,86,80.53,-2.54,58.66
😥,1F625,213,186,60,75.9,-3.82,64.19
😦,1F626,226,182,39,76.04,3.19,71.57
😧,1F627,224,180,39,75.35,3.2,71.0
😨,1F628,182,167,90,68.25,-5.09,41.24
😩,1F629,215,171,41,72.06,4.29,67.14
😪,1F62A,211,186,65,75.84,-4.4,62.09
😫,1F62B,211,167,40,70.68,4.5,66.0
😬,1F62C,237,195,67,80.34,2.05,66.67
😭,1F62D,184,182,93,72.61,-11.98,45.05
😮,1F62E,224,180,39,75.18,3.44,70.88
😯,1F62F,228,184,39,76.75,2.98,72.14
😰,1F630,163,165,109,66.27,-9.66,28.93
😱,1F631,208,186,110,75.83,-2.06,41.19
😲,1F632,227,183,42,76.27,3.09,70.82
😳,1F633,236,194,74,80.12,2.76,63.26
😴,1F634,225,185,53,76.76,1.63,67.72
😵,1F635,218,174,37,73.2,3.53,69.26
😶,1F636,241,196,42,80.95,2.36,75.56
😷,1F637,237,206,112,83.57,-0.73,50.45
😸,1F638,226,175,59,74.18,7.89,63.26
😹,1F639,209,174,74,72.43,1.81,54.55
😺,1F63A,228,173,50,73.93,9.46,66.32
😻,1F63B,227,145,79,67.36,24.97,46.84
😼,1F63C,231,175,49,74.79,9.47,67.51
😽,1F63D,236,175,55,75.18,11.65,66.1
😾,1F63E,231,171,36,73.69,11.29,70.51
😿,1F63F,221,176,59,73.94,5.36,62.9
🙀,1F640,234,166,52,72.83,15.34,64.96
🙁,1F641,235,191,41,79.07,2.72,74.04
🙂,1F642,235,191,41,79.06,2.74,74.03
🙃,1F643,235,191,41,79.04,2.77,74.02
🙄,1F644,240,199,69,81.76,1.54,67.35
🙅,1F645,201,124,27,58.96,23.1,59.69
🙆,1F646,213,132,28,62.38,23.93,62.72
🙇,1F647,183,120,37,55.76,17.87,52.32
🙈,1F648,194,142,93,63.15,14.03,33.81
🙉,1F649,198,147,96,64.74,13.05,34.1
🙊,1F64A,192,147,99,64.12,11.15,31.57
🙋,1F64B,201,132,39,60.89,19.11,57.1
🙌,1F64C,241,182,38,77.33,9.8,73.45
🙍,1F64D,184,124,37,56.9,16.22,53.7
🙎,1F64E,195,128,40,59.09,18.6,55.09
🙏,1F64F,192,167,71,68.99,-2.3,51.56
🌀,1F300,31,135,253,56.79,14.74,-66.45
🌁,1F301,220,211,213,85.21,3.81,-0.18
🌂,1F302,87,98,212,46.4,29.78,-60.34
