emoji,hex,r,g,b,l,a_val,b_val
😀,1F600,250,206,45,84.27,1.07,77.73
😁,1F601,248,199,42,82.28,4.21,76.95
😂,1F602,246,196,45,81.43,4.5,75.27
😃,1F603,249,205,45,84.09,1.33,77.6
😄,1F604,250,206,45,84.38,0.83,77.8
😅,1F605,247,196,44,81.58,4.96,75.69
😆,1F606,249,205,45,83.99,1.49,77.53
😇,1F607,249,209,47,85.09,-0.89,78.0
😈,1F608,231,8,233,55.06,90.8,-57.12
😉,1F609,250,209,46,85.04,-0.28,78.31
😊,1F60A,250,208,46,84.86,0.07,77.97
😋,1F60B,250,211,46,85.59,-1.17,78.71
😌,1F60C,250,210,46,85.35,-0.76,78.54
😍,1F60D,250,205,46,84.15,1.32,77.55
😎,1F60E,250,207,45,84.44,0.71,77.89
😏,1F60F,250,210,46,85.39,-0.84,78.57
😐,1F610,251,217,47,87.32,-4.05,79.94
😑,1F611,250,209,46,85.18,-0.56,78.41
😒,1F612,250,210,46,85.29,-0.66,78.49
😓,1F613,250,210,46,85.27,-0.89,78.35
😔,1F614,250,210,46,85.43,-0.91,78.59
😕,1F615,250,210,46,85.19,-0.53,78.43
😖,1F616,250,209,46,85.08,-0.42,78.34
😗,1F617,250,210,46,85.19,-0.55,78.42
😘,1F618,250,210,46,85.21,-0.6,78.44
😙,1F619,248,194,43,81.13,6.27,75.69
😚,1F61A,250,210,47,85.29,-0.71,78.25
😛,1F61B,250,209,46,85.15,-0.41,78.4
😜,1F61C,248,199,43,82.44,3.55,76.8
😝,1F61D,250,209,46,85.0,-0.21,78.3
😞,1F61E,252,220,47,87.9,-4.7,80.38
😟,1F61F,250,210,46,85.23,-0.59,78.45
😠,1F620,250,209,46,85.19,-0.54,78.42
😡,1F621,250,184,57,78.9,13.29,69.2
😢,1F622,249,209,46,84.89,-0.32,78.06
😣,1F623,250,209,46,85.08,-0.42,78.33
😤,1F624,248,204,44,83.6,1.26,77.35
😥,1F625,250,210,46,85.24,-0.82,78.35
😦,1F626,248,194,43,81.06,6.41,75.65
😧,1F627,250,210,46,85.22,-0.57,78.44
😨,1F628,241,199,48,81.69,1.25,74.53
😩,1F629,249,203,45,83.6,2.18,77.3
😪,1F62A,250,210,46,85.29,-0.99,78.3
😫,1F62B,249,203,45,83.54,2.37,77.26
😬,1F62C,248,199,42,82.32,4.17,76.86
😭,1F62D,247,200,44,82.46,2.92,76.54
😮,1F62E,250,208,46,84.89,-0.03,78.21
😯,1F62F,250,210,46,85.27,-0.58,78.48
😰,1F630,239,199,49,81.64,0.09,73.87
😱,1F631,240,197,67,81.33,2.09,67.65
😲,1F632,250,209,46,85.03,-0.2,78.3
😳,1F633,250,208,48,84.87,0.21,77.57
😴,1F634,250,209,46,85.1,-0.58,78.21
😵,1F635,250,209,46,85.12,-0.43,78.36
😶,1F636,252,219,47,87.69,-4.42,80.24
😷,1F637,248,199,44,82.39,4.07,76.54
😸,1F638,253,190,36,80.62,10.27,77.25
😹,1F639,251,189,36,80.24,10.11,76.85
😺,1F63A,253,191,36,80.81,10.35,77.48
😻,1F63B,252,189,37,80.32,10.77,76.78
😼,1F63C,252,189,36,80.35,10.63,77.09
😽,1F63D,254,192,35,81.33,9.86,78.11
😾,1F63E,254,190,35,80.67,11.06,77.49
😿,1F63F,252,190,36,80.53,10.31,77.25
🙀,1F640,254,192,37,81.14,9.89,77.36
🙁,1F641,250,210,46,85.19,-0.54,78.42
🙂,1F642,250,210,46,85.2,-0.52,78.43
🙃,1F643,250,209,46,85.19,-0.53,78.43
🙄,1F644,249,207,47,84.49,0.57,77.44
🙅,1F645,245,127,2,65.37,39.35,71.96
🙆,1F646,242,124,12,64.38,40.22,69.6
🙇,1F647,226,120,15,61.28,35.45,65.88
🙈,1F648,185,137,91,60.75,12.5,31.69
🙉,1F649,182,136,91,60.33,12.01,31.19
🙊,1F64A,183,137,92,60.69,11.96,31.32
🙋,1F64B,241,126,31,64.85,38.68,65.42
🙌,1F64C,255,203,39,83.97,4.6,79.24
🙍,1F64D,90,62,53,29.22,10.72,10.83
🙎,1F64E,242,131,31,65.8,36.74,66.35
🙏,1F64F,254,202,39,83.56,4.87,78.85
🌀,1F300,31,135,253,56.85,14.63,-66.38
🌁,1F301,238,241,242,94.98,-0.96,-0.99
🌂,1F302,101,89,239,47.21,46.14,-74.29
🌃,1F303,25,47,106,21.14,13.95,-36.82
🌄,1F304,248,161,51,73.36,23.79,66.14
🌅,1F305,233,230,191,90.65,-5.37,19.23
🌆,1F306,74,45,111,25.16,28.69,-33.68
🌇,1F307,124,20,63,27.13,45.73,1.53
🌈,1F308,255,111,12,63.95,50.85,70.26
🌉,1F309,21,75,135,31.8,5.66,-38.01
🌊,1F30A,29,117,171,46.87,-5.67,-35.72
🌋,1F30B,223,83,56,54.23,53.32,44.2
🌌,1F30C,33,60,155,29.29,25.51,-54.46
